AX,AY,AZ,GPS_Lat,GPS_Long,GX,GY,GZ
-0.117844775,0.011584741,-0.1440769,33.8368052,-84.311771,-0.20093533,-0.08681898,-0.09001477
-0.82883555,4.8310814,8.623124,33.8368052,-84.311771,-0.56712955,4.400494,8.817757
0.101732664,-0.0050600017,-0.1358211,33.8368052,-84.311771,0.8324288,4.589138,8.571621
-0.42663804,-0.6791055,-0.36645067,33.8368052,-84.311771,-0.21918629,0.17666654,0.11258749
0.79255605,4.0092525,-0.17670059,33.8368052,-84.311771,-20.46637,-10.375417,-2.5643597
4.5209785,-24.250856,0.472977,33.8368052,-84.311771,-1.9463264,-1.1336602,9.506456
0.000133,-0.037950013,-0.004394212,33.8368052,-84.311771,-1.883445,-1.1659992,9.527417
0.0010652635,0.000799,-0.000399,33.8368052,-84.311771,-1.387581,-1.3606318,9.678931
-0.41811594,-0.42530647,-0.5838976,33.8368052,-84.311771,2.8443868,1.2423636,-3.4949965
-4.1627426,-2.6907213,13.255381,33.8368052,-84.311771,-0.767152,1.8840439,5.5197816
0.15193321,-0.432497,-0.30413273,33.8368052,-84.311771,0.15690385,2.8661902,7.992514
-0.24833956,-0.821984,-0.9335703,33.8368052,-84.311771,1.0989258,4.0537486,8.78961
0.33089748,0.074035816,-0.10040109,33.8368052,-84.311771,-0.09042931,4.4160647,8.960287
-0.5230444,-0.29734167,-0.08788424,33.8368052,-84.311771,0.37429354,3.9196017,8.738706
0.032224223,-0.03675159,-0.009187898,33.8368052,-84.311771,-0.19163829,4.2322116,8.874649
-0.023835272,0.059921075,-0.10812425,33.8368052,-84.311771,-0.23894899,4.1136355,8.92735
-0.046072647,0.021172112,-0.019574217,33.8368052,-84.311771,-0.21679081,3.8944492,8.986638
-0.072970554,-0.052730545,0.03368896,33.8368052,-84.311771,0.22457612,3.8842685,9.354942
0.12250531,-0.2836264,-0.21984376,33.8368052,-84.311771,1.6576711,2.8200772,8.634502
0.19481006,0.014780532,-0.028628957,33.8368052,-84.311771,0.9689711,2.7026987,10.362242
-0.41651803,-0.48589334,-0.2870885,33.8368052,-84.311771,1.3762025,2.669162,9.03335
0.067511074,0.21917798,0.40413436,33.8368052,-84.311771,2.2164166,2.1625183,8.877644
0.0636495,-0.054594755,0.050067388,33.8368052,-84.311771,0.45514092,1.6696485,10.470037
0.13888372,0.36938012,0.3460775,33.8368052,-84.311771,-0.6042595,3.7752743,8.217091
-0.004394212,0.16125427,0.59974337,33.8368052,-84.311771,0.5341917,2.55358,10.981473
-0.31185588,-0.09787109,0.48336333,33.8368052,-84.311771,1.5774226,1.924767,8.97466
-0.067777395,0.77924025,0.67364603,33.8368052,-84.311771,0.04431635,0.88692594,9.554965
-0.3387538,-0.05219791,0.54474914,33.8368052,-84.311771,-0.8324288,-0.01736722,9.293858
-0.2229064,0.38176382,0.31358695,33.8368052,-84.311771,-0.11877688,0.17883112,0.24833956
-1.9696822,-0.4395703,9.71127,33.8368052,-84.311771,-2.1074224,-0.48149118,9.950818
0.16391742,-0.33316118,0.21944429,33.8368052,-84.311771,-0.26949134,-0.46532172,9.551372
0.39521277,-0.71532446,0.6934866,33.8368052,-84.311771,0.34581116,0.9237166,1.6279889
1.5917954,2.0589137,9.514841,33.8368052,-84.311771,1.9888461,0.89231575,9.539394
-0.032756854,0.37936696,1.1796463,33.8368052,-84.311771,0.035286855,0.0027963168,0.93769825
0.8515926,1.0288581,8.984841,33.8368052,-84.311771,1.3480556,1.4396826,9.810083
0.03941475,0.18402427,-0.120774254,33.8368052,-84.311771,0.33656475,0.058090355,9.190253
-0.06511423,0.07869634,0.2817622,33.8368052,-84.311771,0.6210278,-0.28745744,9.962196
-0.33169642,0.10519477,-0.13142689,33.8368052,-84.311771,-1.2007337,-1.745705,9.80649
-0.43928805,0.3470096,-0.35473275,33.8368052,-84.311771,-1.2642138,-2.4200323,10.743721
0.635696,0.08335687,-0.753674,33.8368052,-84.311771,-1.598982,0.9881349,8.756672
0.7672561,0.1617869,-1.2879035,33.8368052,-84.311771,-0.07545757,2.1559308,6.583374
0.46485436,-0.6495444,-0.19547586,33.8368052,-84.311771,-0.36171725,-0.11857619,0.36111838
0.24594271,2.863162,-1.2879035,33.8368052,-84.311771,0.15885742,-0.23342587,-0.24740745
-1.6882135,2.875173,7.8990903,33.8368052,-84.311771,-1.194146,2.582326,9.394468
0.00519316,-0.0018642112,-0.000266,33.8368052,-84.311771,-1.2073212,2.6158626,9.19744
0.028628957,0.041678436,-0.011584741,33.8368052,-84.311771,0.6571344,-1.3555478,0.37976643
0.4401692,2.6619756,18.678743,33.8368052,-84.311771,-1.1444398,0.9528016,3.5572855
0.6522076,1.0122666,-1.2503531,33.8368052,-84.311771,-3.7052064,3.454879,6.878018
-0.731836,-0.44754383,-0.09121319,33.8368052,-84.311771,-0.091627054,-0.039525397,0.2347569
-0.40000644,-1.123054,-0.39468014,33.8368052,-84.311771,-4.038178,0.08503949,19.272224
-0.012650005,0.12556794,0.1769669,33.8368052,-84.311771,-1.534304,-0.34494892,9.725044
-0.0027963168,0.0034621065,-0.000799,33.8368052,-84.311771,-1.681027,-1.1288693,10.259834
-0.5147886,-0.21491691,0.059654757,33.8368052,-84.311771,0.5143891,0.30559748,-1.2024162
2.5877156,-0.5982708,12.843957,33.8368052,-84.311771,-2.0187895,0.80008984,3.302766
0.54474914,1.4419674,-0.12796478,33.8368052,-84.311771,-2.7260547,1.3564397,4.425048
-0.22650166,-0.75500554,0.27816695,33.8368052,-84.311771,-0.104802184,-0.038926527,0.5916832
-0.4283691,-1.0950909,0.43702435,33.8368052,-84.311771,-1.1648015,-2.094247,11.069507
-1.5002905,0.5030707,-0.028895274,33.8368052,-84.311771,-0.47430477,-1.373807,9.52562
0.012117373,-0.0035952644,0.004394212,33.8368052,-84.311771,0.6875023,-2.1211963,16.049107
0.07723161,-1.3596758,-0.47723806,33.8368052,-84.311771,1.2480444,-0.079050794,6.224651
0.9659277,1.1004173,-0.157659,33.8368052,-84.311771,-1.5349029,1.4744171,5.6305723
-0.2079927,0.07829687,-0.07390266,33.8368052,-84.311771,-0.10180784,-0.092824794,0.3509376
-0.505867,0.53449595,-0.55233914,33.8368052,-84.311771,-6.7798033,-2.6206536,23.171463
0.66938496,-0.31838062,0.33302802,33.8368052,-84.311771,-1.6977954,0.2485309,9.715462
0.000533,0.015180005,0.000133,33.8368052,-84.311771,-1.0911405,-0.22397724,14.384849
-0.27736798,-0.7787076,0.47630596,33.8368052,-84.311771,1.851705,0.7360108,9.16031
-0.02130527,0.7135934,-0.77737606,33.8368052,-84.311771,-1.0695812,0.5485646,6.66482
0.04846949,0.90081346,-0.02263685,33.8368052,-84.311771,-2.1122131,0.4874799,5.6533294
0.046605278,-0.06684528,0.24434482,33.8368052,-84.311771,0.27377272,-1.0122666,0.39294907
-0.12516375,-0.080248535,0.48628214,33.8368052,-84.311771,-2.278699,-0.5934798,9.356739
-0.6169207,1.9351844,0.26644903,33.8368052,-84.311771,-1.4061459,-0.010180783,9.643598
0.03235738,0.09081372,0.22157481,33.8368052,-84.311771,1.5013661,-0.6964854,16.403639
-0.25366586,-0.82904136,-2.245975,33.8368052,-84.311771,0.41202232,-0.16289254,7.2846503
0.33156326,1.1318425,-0.25819325,33.8368052,-84.311771,-1.883445,1.1468353,5.4095893
-0.26897904,-0.025433166,0.021704745,33.8368052,-84.311771,-0.0886327,-0.05030505,0.3371636
-0.14314479,-0.41318908,0.119708985,33.8368052,-84.311771,-3.6656811,0.78571695,21.882097
0.79521924,-1.5052173,0.79575187,33.8368052,-84.311771,-1.1995358,0.8815361,9.693304
0.004394212,0.0035952644,-0.000666,33.8368052,-84.311771,0.22637272,1.2169031,15.728113
-0.06831002,-0.98949665,1.3281173,33.8368052,-84.311771,0.2842922,0.24780692,0.06764423
0.6551634,1.4438747,4.8867764,33.8368052,-84.311771,-0.07186436,0.80727625,7.630198
-0.5263733,0.77857447,1.1369025,33.8368052,-84.311771,0.6354007,2.2248006,9.455553
0.4391549,-0.074035816,-0.023036323,33.8368052,-84.311771,0.39345735,4.0315905,8.8321295
0.16751269,-0.15246584,-0.11944267,33.8368052,-84.311771,-0.91627055,3.4997942,9.19205
-0.00519316,0.0013315794,-0.009321056,33.8368052,-84.311771,-0.9288468,3.4776359,8.920163
-0.38309538,-0.4127896,-0.17923059,33.8368052,-84.311771,0.2982371,3.7998278,12.178014
