AX,AY,AZ,GPS_Lat,GPS_Long,GX,GY,GZ
0.01877527,0.019041585,-0.0049268436,33.8123335,-84.2929108,-0.13893776,5.847962,7.9050794
0.00519316,-0.008122634,-0.002396843,33.8123335,-84.2929108,-0.13115245,5.857544,7.896096
0.008655266,-0.0061252653,0.0035952644,33.8123335,-84.2929108,-0.11138975,5.8683233,7.8565707
-0.015180005,0.0010652635,0.012383688,33.8123335,-84.2929108,-0.110192016,5.80664,7.9080734
-0.05499423,0.015446321,0.018908428,33.8123335,-84.2929108,-0.08923157,5.5652957,8.033237
-0.36871433,-0.09880319,0.11118688,33.8123335,-84.2929108,0.96298236,4.023805,9.1028185
6.66E-04,-0.011717899,0.052863702,33.8123335,-84.2929108,0.31021446,4.3010817,9.289067
-0.05552686,-0.032091063,0.12676635,33.8123335,-84.2929108,0.13594341,3.3021672,9.5364
0.007190529,-0.14421006,0.4428833,33.8123335,-84.2929108,1.0576038,2.8655913,8.762661
-0.14128058,0.92052084,2.5564992,33.8123335,-84.2929108,0.978553,0.123367146,10.964106
0.43103224,-0.3545996,-0.8661924,33.8123335,-84.2929108,1.7019875,3.0350714,7.1001983
-0.52024806,0.32210904,0.07137266,33.8123335,-84.2929108,1.1869596,2.406258,9.296852
-0.031957906,1.105344,1.1446257,33.8123335,-84.2929108,-0.06887001,2.5799303,9.673541
0.055793177,-0.3523359,-0.25153536,33.8123335,-84.2929108,2.3343937,0.6887001,9.788525
-0.54621387,-0.75327444,-3.4180312,33.8123335,-84.2929108,-0.3671071,1.804993,7.80387
0.25952482,-0.13129373,1.4985595,33.8123335,-84.2929108,3.2267096,1.4295018,7.2960286
-0.5067991,0.61825234,0.2063948,33.8123335,-84.2929108,-2.7991166,3.6369352,11.461766
-0.20346533,-0.007989476,1.6213311,33.8123335,-84.2929108,-0.15810159,1.7684621,8.459034
-0.59761286,0.544616,-0.150069,33.8123335,-84.2929108,-0.053299397,1.2576262,11.633641
0.59561545,-0.15712637,-0.8579366,33.8123335,-84.2929108,-1.7648689,3.128495,9.053112
0.097604774,0.9367661,1.6531558,33.8123335,-84.2929108,2.6709585,-0.12935585,10.577235
0.17377111,-0.12769847,-0.47004753,33.8123335,-84.2929108,0.8875248,1.5211289,9.465734
0.024367902,-0.10905635,-0.46844962,33.8123335,-84.2929108,0.09761575,2.430812,9.281281
